sample,latitude,longitude,dist_coast,dist_ocean,elevation
SRR16996433,-62.20833333,-58.98388889,617.6977639,617.6977639,82.0546875
SRR16996434,-62.20944444,-58.98305556,590.2236353,590.2236353,63.5234375
SRR16996435,-62.21138889,-58.97805556,449.4141418,449.4141418,53.8828125
SRR16996436,-62.21361111,-58.97166667,287.1190714,287.1190714,39.75
SRR16996437,-62.20472222,-59.00083333,130.6257014,130.6257014,40.0546875
SRR16996438,-62.20861111,-58.99444444,429.6468462,429.6468462,76.90625
SRR16996439,-62.20833333,-58.98388889,617.6977639,617.6977639,82.0546875
SRR17050018,-62.217893,-58.964096,192.6734107,192.6734107,40.6875
SRR17050019,-62.217893,-58.964096,192.6734107,192.6734107,40.6875
SRR17050020,-62.218024,-58.966421,307.4228119,307.4228119,59.15625
SRR17050021,-64.71588333,-62.87171667,5091.640849,5091.640849,54.4375
SRR17050022,-64.895507,-62.870299,201.9195321,201.9195321,27.265625
SRR17050023,-64.895507,-62.870299,201.9195321,201.9195321,27.265625
SRR17050024,-64.81828333,-63.50921667,112.0702903,112.0702903,35.9296875
SRR17050025,-64.81828333,-63.50921667,112.0702903,112.0702903,35.9296875
A_4,-76.89465,161.13915,29939.93359,29939.93359,875.734375
A_5,-76.89465,161.13915,29939.93359,29939.93359,875.734375
A_6,-76.89465,161.13915,29939.93359,29939.93359,875.734375
BA_2,-77.49361667,160.8710306,63414.51772,63414.51772,1529.3125
BA_5,-77.49361667,160.8710306,63414.51772,63414.51772,1529.3125
BA_6,-77.49361667,160.8710306,63414.51772,63414.51772,1529.3125
BR_2,-77.43863333,162.7288028,20328.68319,20328.68319,222.6015625
BR_3,-77.43863333,162.7288028,20328.68319,20328.68319,222.6015625
BR_6,-77.43863333,162.7288028,20328.68319,20328.68319,222.6015625
BSP3,-76.92235,161.0814333,30863.52929,30863.52929,1242.304688
BSP4,-76.92235,161.0814333,30863.52929,30863.52929,1242.304688
D_1,-77.54776667,161.2364167,54083.95372,54083.95372,784.53125
D_6,-77.54776667,161.2364167,54083.95372,54083.95372,784.53125
F_3,-77.60769444,163.2506833,7293.450125,7293.450125,-35.34375
H_1,-77.51019167,160.5785972,70037.73734,70037.73734,1159.453125
H_3,-77.51019167,160.5785972,70037.73734,70037.73734,1159.453125
H_5,-77.51019167,160.5785972,70037.73734,70037.73734,1159.453125
HG_1,-78.0386,163.8506028,11389.53262,11389.53262,679.84375
